#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hist_rollo;Blood of Rollo;;;;;;;;;;;;;x
hist_rollo_desc;"This character is descendant of Rollo, baptised Robert and so sometimes numbered Robert I to distinguish him from his descendants, was a Norse nobleman of Norwegian or Danish descent who was founder and first ruler of the Viking principality which soon became known as Normandy. His descendants were the Dukes of Normandy, and following the Norman conquest of England in 1066, kings of England. Norwegian and Icelandic historians identified Rollo instead with Ganger Hrolf, a son of Rognvald Eysteinsson, Earl of M?re, in Western Norway, based on medieval Norwegian and Icelandic sagas. The oldest source of this version is the Latin Historia Norvegiae, written in Norway at the end of the 12th century. This Hrolf fell foul of the Norwegian king Harald Fairhair, and became a Jarl in Normandy. The nickname the Walker, Ganger in Norse, came from being so big that no horse could carry him. The question of Rollo's origins was a matter of heated dispute between Norwegian and Danish historians of the 19th and early 20th centuries, particularly in the run-up to Normandy's millennium anniversary in 1911. The Yngling ""Fairhair dynasty"" lineage introduced in Hversu Noregr bygg?ist and the Orkneyinga and Heimskringla sagas suggests a line of Rollo going back to Fornj?t, the primeval king who reigned over Finland and Kvenland. The claimed line leading to Rollo includes Rognvald Eysteinsson, the founder of the Earldom of Orkney.";;;;;;;;;;;;;x
hist_kingalan;Blood of King Alan;;;;;;;;;;;;;x
hist_kingalan_desc;The proud descedant of king Alan I, called the Great, who was the Count of Vannes and Duke of Brittany (dux Brittonium) from 876 until his death in 907. He was probably also the only King of Brittany to hold that title by legitimate grant of the Holy Roman Emperor! De Rohan family claimed its descend from King Alan.;;;;;;;;;;;;;x
hist_kingcunedda;Blood of Cunedda;;;;;;;;;;;;;x
hist_kingcunedda_desc;This character is a proud descendant of a 5th century important early Welsh leader also known as Cunedda Wledig, the progenitor of the royal dynasty of Gwynedd. His genealogy is traced back to Padarn Beisrudd, which literally translates as Paternus of the Scarlet Robe. One traditional interpretation identifies Padarn as a Roman (or Romano-British) official of reasonably high rank who had been placed in command of Votadini troops stationed in the Clackmannanshire region of Scotland in the 380s or earlier by the Emperor Magnus Maximus. Alternatively, he may have been a frontier chieftain who was granted Roman military rank, a practice attested elsewhere along the empire's borders at the time. In all likelihood, Padarn's command in Scotland was assumed after his death by his son, Edern (Latin: Eturnus), and then passed to Edern's son, Cunedda.;;;;;;;;;;;;;x
hist_kingcoel;Blood of King Coel;;;;;;;;;;;;;x
hist_kingcoel_desc;This character is a proud descendant of Coel Hen (AD 350–420), known as the Bonedd Gwur y Gogledd, the head of several post-Roman royal families of the Hen Ogledd. His line, collectively called the Coeling, included such noted figures as Urien, king of Rheged, Gwallog, perhaps king of Elmet, the brothers Gwrgi and Peredur, and Clydno Eiddin, king of Eiddin or Edinburgh.He was also considered to be the father-in-law of Cunedda, founder of Gwynedd in North Wales, by his daughter Gwawl.;;;;;;;;;;;;;x
hist_kingglywys;Blood of Glywys;;;;;;;;;;;;;x
hist_kingglywys_desc;This character is a proud descendant of Glywys (Latin: Claudius) a legendary early 5th century Welsh king, an important character in early Welsh genealogies as the eponymous founder king of Glywysing, a south-east Welsh kingdom whose heartland lay between the Tawe and the Usk.;;;;;;;;;;;;;
;;;;;;;;;;;;;x;
hist_kingmilesius;Blood of Milesius;;;;;;;;;;;;;x
hist_kingmilesius_desc;This character is a proud descendant of Milesius (died before 1287 BC). In Irish origin legends, Mil Espaine or Mil Espine (later pseudo-Latinised as Milesius) is the ancestor of the final inhabitants of Ireland, the 'sons of Mil' or Milesians, who represent the vast majority of the Irish Gaels. His father was Bile, son of Breogan. He served as a soldier in Scythia and Egypt, before remembering a prophecy that his descendants would rule Ireland. He set off to the west, getting as far as Iberia where he fought several battles before dying, never seeing Ireland himself. His wife Scota and his uncle Eth, who had spied Ireland from a tower, sailed to Ireland where Eth was killed by the Tuatha Di Danann. When his body was brought back to Iberia, Mil's eight sons and Eth's nine brothers invaded Ireland and defeated the Tuatha Di Danann.;;;;;;;;;;;;;
;;;;;;;;;;;;;x;
hist_kingyngvi;Blood of Yngvi-Frey;;;;;;;;;;;;;x
hist_kingyngvi_desc;This character are the descendant of the Norse Pagan god Yngvi-Frey of Vanaheim. Ynglings were the oldest known Scandinavian dynasty of the semi-legendary royal Swedish clan during the Age of Migrations, with kings such as Eadgils, Onela and Ohthere. They were kindred of the god Frey, and most faithful witnesses to the gods.;;;;;;;;;;;;;
;;;;;;;;;;;;;x;
hist_karling;Blood of Charlemagne;;;;;;;;;;;;;x
hist_karling_desc;Karolus Magnus, King of the Franks and Imperator Romanorum ruled over a vast, yet fragile Empire. A major architect of this Empire was Pope Leo III, exiled from Rome by the proper Roman Emperor Marcus Aurelius V, the Pope went to the court of the Frankish King and persuaded him to wage a Crusade against the Unholy Empire now found in Rome. In order to give legitimacy to the enterprise Leo had Karolus crowned Sacred Roman Emperor and proclaimed the birth of a new Holy Roman Empire! The crusading armies of this new Holy Roman Empire marched on Rome, but in 802 at the battle of Pavia, an allied Roman coalition led by the Mithraic host of Ravenna defeated the Franks and sent them back over the Alps. The Empire of Karolus Magnus remained a fragmented theoretical state, and upon his death it split into many lesser kingdoms paying only lip service to the new Sacral Emperor reigning in Aachen. The main Karling line retained the fiction of their Holy Roman Imperial title, but little power outside the walls of their Sacral capital. The lesser lines of the Pepinid Karlings and Lotharing Karlings ruling over Austrasia and Lotharingia retain vastly more power than their theoretical overlord. The Emperor himself is nothing but a shadow of the great Karolus, with the great nobility of his inexistent Empire bowing before him in public, yet laughing behind his back. A Karling Restoration is the dream of every Sacral Emperor, and even the lesser bloodlines of the Karlings share it... yet such a dream might be beyond the powers of mere mortal men. ;;;;;;;;;;;;;
;;;;;;;;;;;;;x;
hist_merovingian;Blood of Merovech;;;;;;;;;;;;;x
